ISO_639_5,hierarchy
aav,aav
afa,afa
alg,"nai,aql,alg"
alv,"nic,alv"
apa,"nai,xnd,ath,apa"
aqa,"sai,aqa"
aql,"nai,aql"
art,art
ath,"nai,xnd,ath"
auf,"sai,awd,auf"
aus,aus
awd,"sai,awd"
azc,"nai,azc"
bad,"nic,alv,bad"
bai,"nic,alv,bai"
bat,"ine,bat"
ber,"afa,ber"
bih,"ine,iir,bih"
bnt,"nic,alv,bnt"
btk,"map,poz,pqw,btk"
cai,cai
cau,cau
cba,"sai,cba"
ccn,"cau,ccn"
ccs,"cau,ccs"
cdc,"afa,cdc"
cdd,"nai,cdd"
cel,"ine,cel"
cmc,"map,poz,pqw,cmc"
cpe,"crp,cpe"
cpf,"crp,cpf"
cpp,"crp,cpp"
crp,crp
csu,"ssa,csu"
cus,"afa,cus"
day,day
dmn,"nic,dmn"
dra,dra
egx,"afa,egx"
esx,esx
euq,euq
fiu,"urj,fiu"
fox,"map,fox"
gem,"ine,gem"
gme,"ine,gem,gme"
gmq,"ine,gem,gmq"
gmw,"ine,gem,gmw"
grk,"ine,grk"
hmx,hmx
hok,"nai,hok"
hyx,"ine,hyx"
iir,"ine,iir"
ijo,"nic,alv,ijo"
inc,"ine,iir,inc"
ine,ine
ira,"ine,iir,ira"
iro,"nai,iro"
itc,"ine,itc"
jpx,jpx
kar,"sit,tbq,kar"
kdo,"nic,kdo"
khi,khi
kro,"nic,alv,kro"
map,map
mkh,"aav,mkh"
mno,"map,poz,pqw,phi,mno"
mun,"aav,mun"
myn,"cai,myn"
nah,"nai,azc,nah"
nai,nai
ngf,"paa,ngf"
nic,nic
nub,"ssa,sdv,nub"
omq,"cai,omq"
omv,"afa,omv"
oto,"cai,omq,oto"
paa,paa
phi,"map,poz,pqw,phi"
plf,"map,poz,plf"
poz,"map,poz"
pqe,"map,poz,pqe"
pqw,"map,poz,pqw"
pra,"ine,iir,inc,pra"
qwe,"sai,qwe"
roa,"ine,itc,roa"
sai,sai
sal,"nai,sal"
sdv,"ssa,sdv"
sem,"afa,sem"
sgn,sgn
sio,"nai,sio"
sit,sit
sla,"ine,sla"
smi,"urj,fiu,smi"
son,"ssa,son"
sqj,"ine,sqj"
ssa,ssa
syd,"urj,syd"
tai,tai
tbq,"sit,tbq"
trk,"tut,trk"
tup,"sai,tup"
tut,tut
tuw,"tut,tuw"
urj,urj
wak,"nai,wak"
wen,"ine,sla,zlw,wen"
xgn,"tut,xgn"
xnd,"nai,xnd"
ypk,"esx,ypk"
zhx,"sit,zhx"
zle,"ine,sla,zle"
zls,"ine,sla,zls"
zlw,"ine,sla,zlw"
