,All,:instance:namespace,:instance:template,:instance:enumeration,:instance:selection,:instance:category,:instance:collection,:instance:instance,:instance:type,:instance:type:text,:instance:type:quant,:instance:predicate,:instance:class,:instance:struct,:instance:form
1,descriptors/_id,,,,,,,,,,,,,,
2,descriptors/_key,,,,,,,,,,,,,,
3,descriptors/_rev,,,,,,,,,,,,,,
4,descriptors/_from,,,,,,,,,,,,,,
5,descriptors/_to,,,,,,,,,,,,,,
6,descriptors/predicate,,,,,,,,,,,,,,
7,descriptors/nid,,,,,,,,,,,,,,
8,descriptors/lid,,,,,,,,,,,,,,
9,descriptors/gid,,,,,,,,,,,,,,
10,descriptors/pid,,,,,,,,,,,,,,
11,descriptors/var,,,,,,,,,,,,,,
12,descriptors/sym,,,,,,,,,,,,,,
13,descriptors/syn,,,,,,,,,,,,,,
14,descriptors/logo,,,,,,,,,,,,,,
15,descriptors/name,,,,,,,,,,,,,,
16,descriptors/pname,,,,,,,,,,,,,,
17,descriptors/keyword,,,,,,,,,,,,,,
18,descriptors/username,,,,,,,,,,,,,,
19,descriptors/password,,,,,,,,,,,,,,
20,descriptors/passcheck,,,,,,,,,,,,,,
21,descriptors/email,,,,,,,,,,,,,,
22,descriptors/group,,,,,,,,,,,,,,
23,descriptors/manager,,,,,,,,,,,,,,
24,descriptors/rank,,,,,,,,,,,,,,
25,descriptors/role,,,,,,,,,,,,,,
26,descriptors/language,,,,,,,,,,,,,,
27,descriptors/auth,,,,,,,,,,,,,,
28,descriptors/kind,,,,,,,,,,,,,,
29,descriptors/type,,,,,,,,,,,,,,
34,descriptors/traversal,,,,,,,,,,,,,,
35,descriptors/format,,,,,,,,,,,,,,
36,descriptors/size,,,,,,,,,,,,,,
37,descriptors/length,,,,,,,,,,,,,,
38,descriptors/regex,,,,,,,,,,,,,,
40,descriptors/range,,,,,,,,,,,,,,
41,descriptors/decimals,,,,,,,,,,,,,,
42,descriptors/terms,,,,,,,,,,,,,,
43,descriptors/fields,,,,,,,,,,,,,,
44,descriptors/unit,,,,,,,,,,,,,,
45,descriptors/units,,,,,,,,,,,,,,
46,descriptors/deploy,,,,,,,,,,,,,,
47,descriptors/status,,,,,,,,,,,,,,
48,descriptors/access,,,,,,,,,,,,,,
49,descriptors/usage,,,,,,,,,,,,,,
50,descriptors/interface,,,,,,,,,,,,,,
51,descriptors/sort,,,,,,,,,,,,,,
52,descriptors/level,,,,,,,,,,,,,,
53,descriptors/order,,,,,,,,,,,,,,
54,descriptors/init,,,,,,,,,,,,,,
55,descriptors/enable,,,,,,,,,,,,,,
56,descriptors/switch,,,,,,,,,,,,,,
57,descriptors/names,,,,,,,,,,,,,,
58,descriptors/named,,,,,,,,,,,,,,
59,descriptors/naming,,,,,,,,,,,,,,
60,descriptors/label,,,,,,,,,,,,,,
61,descriptors/definition,,,,,,,,,,,,,,
62,descriptors/description,,,,,,,,,,,,,,
63,descriptors/note,,,,,,,,,,,,,,
64,descriptors/example,,,,,,,,,,,,,,
65,descriptors/domain,,,,,,,,,,,,,,
66,descriptors/collection,,,,,,,,,,,,,,
67,descriptors/class,,,,,,,,,,,,,,
68,descriptors/store,,,,,,,,,,,,,,
69,descriptors/instance,,,,,,,,,,,,,,
70,descriptors/instances,,,,,,,,,,,,,,
71,descriptors/category,,,,,,,,,,,,,,
72,descriptors/attributes,,,,,,,,,,,,,,
73,descriptors/info,,,,,,,,,,,,,,
74,descriptors/schema,,,,,,,,,,,,,,
75,descriptors/latitude,,,,,,,,,,,,,,
76,descriptors/longitude,,,,,,,,,,,,,,
77,descriptors/shape,,,,,,,,,,,,,,
78,descriptors/branches,,,,,,,,,,,,,,
79,descriptors/modifiers,,,,,,,,,,,,,,
80,descriptors/cdate,,,,,,,,,,,,,,
81,descriptors/cstamp,,,,,,,,,,,,,,
82,descriptors/mdate,,,,,,,,,,,,,,
83,descriptors/mstamp,,,,,,,,,,,,,,
84,descriptors/edate,,,,,,,,,,,,,,
85,descriptors/tdate,,,,,,,,,,,,,,
86,descriptors/doc_desc,,,,,,,,,,,,,,
87,descriptors/col_desc,,,,,,,,,,,,,,
88,descriptors/db_desc,,,,,,,,,,,,,,
