_key,_from,_to,predicate,init,access,usage,branches.0,branches.1,branches.2,branches.3,branches.4,branches.5,branches.6,branches.7,branches.8,branches.9,branches.10,branches.11,branches.12,branches.13,branches.14,branches.15
XXX,terms/:class:descriptor,terms/:class:descriptor:any,terms/:predicate:class-of,,,,terms/:class:descriptor:any,,,,,,,,,,,,,,,
XXX,terms/:class:descriptor,terms/:class:descriptor:txt,terms/:predicate:class-of,,,,,terms/:class:descriptor:txt,,,,,,,,,,,,,,
XXX,terms/:class:descriptor,terms/:class:descriptor:key,terms/:predicate:class-of,,,,,,terms/:class:descriptor:key,,,,,,,,,,,,,
XXX,terms/:class:descriptor,terms/:class:descriptor:iaddr,terms/:predicate:class-of,,,,,,,terms/:class:descriptor:iaddr,,,,,,,,,,,,
XXX,terms/:class:descriptor,terms/:class:descriptor:enc,terms/:predicate:class-of,,,,,,,,terms/:class:descriptor:enc,,,,,,,,,,,
XXX,terms/:class:descriptor,terms/:class:descriptor:hex,terms/:predicate:class-of,,,,,,,,,terms/:class:descriptor:hex,,,,,,,,,,
XXX,terms/:class:descriptor,terms/:class:descriptor:date,terms/:predicate:class-of,,,,,,,,,,terms/:class:descriptor:date,,,,,,,,,
XXX,terms/:class:descriptor,terms/:class:descriptor:num,terms/:predicate:class-of,,,,,,,,,,,terms/:class:descriptor:hex,,,,,,,,
XXX,terms/:class:descriptor,terms/:class:descriptor:dec,terms/:predicate:class-of,,,,,,,,,,,,terms/:class:descriptor:dec,,,,,,,
XXX,terms/:class:descriptor,terms/:class:descriptor:range,terms/:predicate:class-of,,,,,,,,,,,,,terms/:class:descriptor:range,,,,,,
XXX,terms/:class:descriptor,terms/:class:descriptor:ref,terms/:predicate:class-of,,,,,,,,,,,,,,terms/:class:descriptor:ref,,,,,
XXX,terms/:class:descriptor,terms/:class:descriptor:ref:term,terms/:predicate:class-of,,,,,,,,,,,,,,,terms/:class:descriptor:ref:term,,,,
XXX,terms/:class:descriptor,terms/:class:descriptor:ref:field,terms/:predicate:class-of,,,,,,,,,,,,,,,,terms/:class:descriptor:ref:field,,,
XXX,terms/:class:descriptor,terms/:class:descriptor:struct,terms/:predicate:class-of,,,,,,,,,,,,,,,,,terms/:class:descriptor:struct,,
