_id,Namespace GID,_key,nid,lid,gid,pid,var,sym,syn.0,syn.1,syn.2,keyword.0,keyword.1,keyword.2,keyword.3,keyword.4,rank,kind,type,format,type-key.type,type-key.terms.0,type-key.terms.1,type-key.terms.2,type-key.terms.3,type-key.terms.4,type-key.terms.5,type-key.terms.6,type-value.type,terms.0,terms.1,terms.2,terms.3,terms.4,terms.5,terms.6,terms.7,terms.8,terms.9,terms.10,terms.11,size.0,size.1,size.2,size.3,regex,range.0,range.1,range.2,range.3,unit,units.0,units.1,deploy,label.ISO:639:3:eng,definition.ISO:639:3:eng,description.ISO:639:3:eng,note.ISO:639:3:eng,example.ISO:639:3:eng,info.0
descriptors/_id,,_id,,_id,_id,,_id,,_id,,,embedded,id,,,,:rank:system,:kind:data:discrete,:type:data:text,:type:format:scalar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:state:application:embedded,Document ID,Unique identifier for the object in the database.,,,,
descriptors/_key,,_key,,_key,_key,,_key,,_key,,,embedded,key,,,,,:kind:data:discrete,:type:value:key,:type:format:scalar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:state:application:embedded,Document key,Unique identifier for the object in the collection.,,,,
descriptors/_rev,,_rev,,_rev,_rev,,_rev,,_rev,,,embedded,revision,,,,:rank:system,:kind:data:discrete,:type:value:str,:type:format:scalar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:state:application:embedded,Document revision,The version or revision of the current object.,,,,
descriptors/_from,,_from,,_from,_from,,_from,,_from,,,embedded,source,,,,:rank:system,:kind:data:discrete,:type:value:ref:id,:type:format:scalar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:state:application:embedded,Relationship source,Reference to the relationship source.,,,,
descriptors/_to,,_to,,_to,_to,,_to,,_to,,,embedded,destination,,,,:rank:system,:kind:data:discrete,:type:value:ref:id,:type:format:scalar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:state:application:embedded,Relationship destination,Reference to the relationship destination.,,,,
descriptors/nid,:id,nid,terms/:id,nid,:id:nid,,kNID,,nid,kNID,,default,identifier,namespace,,,,:kind:data:discrete,:type:value:ref:id,:type:format:scalar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:state:application:default,Namespace,Identifier namespace.,,,,
descriptors/lid,:id,lid,terms/:id,lid,:id:lid,,kLID,,lid,kLID,,default,identifier,local,,,,:kind:data:discrete,:type:value:lid,:type:format:scalar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:state:application:default,Local identifier,Unique identifier within the namespace.,,,,
descriptors/gid,:id,gid,terms/:id,gid,:id:gid,,kGID,,gid,kGID,,default,identifier,global,,,,:kind:data:discrete,:type:value:str,:type:format:scalar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:state:application:default,Global identifier,Unique identifier within all namespaces.,,,,
descriptors/pid,:id,pid,terms/:id,pid,:id:pid,,kPID,,pid,kPID,,default,identifier,public,,,,:kind:data:discrete,:type:value:url,:type:format:scalar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:state:application:default,Public identifier,Public identifier of the object.,,,,
descriptors/var,:id,var,terms/:id,var,:id:var,,kVariable,,var,kVariable,,default,identifier,variable,,,,:kind:data:discrete,:type:value:var,:type:format:scalar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:state:application:default,Variable,Default variable name.,,,,
descriptors/sym,:id,sym,terms/:id,sym,:id:sym,,kSymbol,,sym,kSymbol,,default,identifier,symbol,,,,:kind:data:categorical,:type:value:str,:type:format:scalar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:state:application:default,Symbol,Default symbol.,,,,
descriptors/syn,:id,syn,terms/:id,syn,:id:syn,,kSynonym,,syn,kSynonym,,default,identifier,synonym,,,,:kind:data:categorical,:type:value:str,:type:format:set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:state:application:default,Synonyms,List of synonyms.,,,,
descriptors/logo,:id,logo,terms/:id,logo,:id:logo,,kLogo,,logo,kLogo,,default,identifier,image,logo,,,:kind:data:discrete,:type:value:svg,:type:format:scalar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:state:application:default,Logo,Default logo or icon.,,,,
descriptors/pname,:id,pname,terms/:id,pname,:id:pname,,kPhoneticName,,pname,kPhoneticName,,default,phoneme,,,,,:kind:data:discrete,:type:value:str,:type:format:set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:state:application:default,Phonemes,Phonetic names.,,,,
descriptors/name,:id,name,terms/:id,name,:id:name,,kName,,name,kName,,default,name,,,,,:kind:data:discrete,:type:value:str,:type:format:scalar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:state:application:default,Name,Name or appellation.,,,,
descriptors/names,:id,names,terms/:id,names,:id:names,,kNames,,names,kNames,,default,name,,,,,:kind:data:discrete,:type:data:text,:type:format:set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:state:application:default,Names,List of names or appellations.,,,,
descriptors/named,:id,named,terms/:id,named,:id:named,,kNamed,,named,kNamed,,default,name,language,,,,:kind:data:discrete,:type:data:object,:type:format:scalar,:type:value:term,:enum:language,ISO:639:3,ISO:639:2,ISO:639:5,ISO:639:local,GN:language,GEOnet:language,:type:value:str:set,,,,,,,,,,,,,,,,,,,,,,,,,:state:application:default,Names in language,List of names in specific languages.,,,,
descriptors/naming,:id,naming,terms/:id,naming,:id:naming,,kNaming,,naming,kNaming,,default,name,nomenclature,,,,:kind:data:discrete,:type:data:struct,:type:format:set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:state:application:default,Nomenclature,List of names with attributes and language.,,,,
