_key,_from,_to,predicate,level,order,branch
XXX,terms/:type:domain:object,terms/:type:domain,terms/:predicate:enum-of,,1,terms/:type:domain
XXX,terms/:type:domain:object,terms/:enum:domain,terms/:predicate:category-of,,1,terms/:enum:domain
XXX,terms/:domain:sys,terms/:type:domain:object,terms/:predicate:enum-of,,2,terms/:enum:domain
XXX,terms/:domain:auth,terms/:type:domain:object,terms/:predicate:enum-of,,3,terms/:enum:domain
XXX,terms/:domain:dict,terms/:type:domain:object,terms/:predicate:enum-of,,4,terms/:enum:domain
XXX,terms/:domain:geo,terms/:type:domain:object,terms/:predicate:enum-of,,5,terms/:enum:domain
XXX,terms/:domain:study,terms/:type:domain:object,terms/:predicate:enum-of,,6,terms/:enum:domain
XXX,terms/:domain:dataset,terms/:type:domain:object,terms/:predicate:enum-of,,7,terms/:enum:domain
XXX,terms/:domain:survey,terms/:domain:dataset,terms/:predicate:enum-of,,8,terms/:enum:domain
XXX,terms/:type:instance:term,terms/:type:instance,terms/:predicate:enum-of,,1,terms/:type:instance
XXX,terms/:type:instance:descriptor,terms/:type:instance,terms/:predicate:enum-of,,2,terms/:type:instance
XXX,terms/:type:instance:edge,terms/:type:instance,terms/:predicate:enum-of,,3,terms/:type:instance
XXX,terms/:type:instance:geo,terms/:type:instance,terms/:predicate:enum-of,,4,terms/:type:instance
XXX,terms/:type:instance:user,terms/:type:instance,terms/:predicate:enum-of,,5,terms/:type:instance
XXX,terms/:type:instance:system,terms/:type:instance,terms/:predicate:enum-of,,6,terms/:type:instance
XXX,terms/:type:instance:data,terms/:type:instance,terms/:predicate:enum-of,,7,terms/:type:instance
XXX,terms/:type:instance:term,terms/:enum:instance,terms/:predicate:category-of,,1,terms/:enum:instance
XXX,terms/:type:instance:descriptor,terms/:enum:instance,terms/:predicate:category-of,,2,terms/:enum:instance
XXX,terms/:type:instance:edge,terms/:enum:instance,terms/:predicate:category-of,,3,terms/:enum:instance
XXX,terms/:type:instance:geo,terms/:enum:instance,terms/:predicate:category-of,,4,terms/:enum:instance
XXX,terms/:type:instance:user,terms/:enum:instance,terms/:predicate:category-of,,5,terms/:enum:instance
XXX,terms/:type:instance:system,terms/:enum:instance,terms/:predicate:category-of,,6,terms/:enum:instance
XXX,terms/:type:instance:data,terms/:enum:instance,terms/:predicate:category-of,,7,terms/:enum:instance
XXX,terms/:instance:namespace,terms/:type:instance:term,terms/:predicate:enum-of,,1,terms/:enum:instance
XXX,terms/:instance:template,terms/:type:instance:term,terms/:predicate:enum-of,,2,terms/:enum:instance
XXX,terms/:instance:enumeration,terms/:type:instance:term,terms/:predicate:enum-of,,3,terms/:enum:instance
XXX,terms/:instance:selection,terms/:type:instance:term,terms/:predicate:enum-of,,4,terms/:enum:instance
XXX,terms/:instance:category,terms/:type:instance:term,terms/:predicate:enum-of,,5,terms/:enum:instance
XXX,terms/:instance:collection,terms/:type:instance:term,terms/:predicate:enum-of,,6,terms/:enum:instance
XXX,terms/:instance:instance,terms/:type:instance:term,terms/:predicate:enum-of,,7,terms/:enum:instance
XXX,terms/:instance:type,terms/:type:instance:term,terms/:predicate:enum-of,,8,terms/:enum:instance
XXX,terms/:instance:type:text,terms/:type:instance:term,terms/:predicate:enum-of,,9,terms/:enum:instance
XXX,terms/:instance:type:quant,terms/:type:instance:term,terms/:predicate:enum-of,,10,terms/:enum:instance
XXX,terms/:instance:predicate,terms/:type:instance:term,terms/:predicate:enum-of,,11,terms/:enum:instance
XXX,terms/:instance:class,terms/:type:instance:term,terms/:predicate:enum-of,,12,terms/:enum:instance
XXX,terms/:instance:struct,terms/:type:instance:term,terms/:predicate:enum-of,,13,terms/:enum:instance
XXX,terms/:instance:form,terms/:type:instance:term,terms/:predicate:enum-of,,14,terms/:enum:instance
XXX,terms/:instance:field,terms/:type:instance:descriptor,terms/:predicate:enum-of,,1,terms/:enum:instance
XXX,terms/:instance:field:txt,terms/:type:instance:descriptor,terms/:predicate:enum-of,,2,terms/:enum:instance
XXX,terms/:instance:field:key,terms/:type:instance:descriptor,terms/:predicate:enum-of,,3,terms/:enum:instance
XXX,terms/:instance:field:iaddr,terms/:type:instance:descriptor,terms/:predicate:enum-of,,4,terms/:enum:instance
XXX,terms/:instance:field:enc,terms/:type:instance:descriptor,terms/:predicate:enum-of,,5,terms/:enum:instance
