_key,_from,_to,predicate,rank,role,init,enable,access,usage,interface,level,order,terms.0,fields.0,label.ISO:639:3:eng,definition.ISO:639:3:eng,description.ISO:639:3:eng,note.ISO:639:3:eng,example.ISO:639:3:eng,domain,instance,category,keyword.0,keyword.1,info,schema,branches.0,branches.1,branches.2,branches.3,branches.4,branches.5,branches.6,branches.7,branches.8,branches.9,branches.10,branches.11,branches.12,branches.13,branches.14,branches.15
XXX,descriptors/nid,,terms/:predicate:field-of,,,,,:state:access:protected,:state:usage:required,:state:interface:field:in,,1,,,,Select a namespace for the descriptor.,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,descriptors/lid,,terms/:predicate:field-of,,,,,:state:access:protected,:state:usage:required,:state:interface:field:in:out,,2,,,,Provide a unique code for the descriptor.,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,descriptors/gid,,terms/:predicate:field-of,,,,,,,:state:interface:field:comp,,3,,,,The descriptor global identifier code.,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,descriptors/_key,,terms/:predicate:field-of,,,,,:state:access:protected,:state:usage:required,:state:interface:field:comp:in,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,descriptors/pid,,terms/:predicate:field-of,,,,,,:state:usage:optional,:state:interface:field:in,,10,,,,Provide an internet address that can be considered the public descriptor identifier.,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,descriptors/var,,terms/:predicate:field-of,,,,,:state:access:protected,,:state:interface:field:comp,,11,,,,This value will be used as a variable name when referring to the current descriptor.,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,descriptors/keyword,,terms/:predicate:field-of,,,,,,:state:usage:suggested,:state:interface:field:in:out,,17,,,,Provide relevant keywords that apply to the descriptor.,These keywords will be used when searching for descriptors.,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,descriptors/sym,,terms/:predicate:field-of,,,,,,:state:usage:optional,:state:interface:field:in:out,,12,,,,,"Provide the symbol that applies to the descriptor, if available.",,,,,,,,,,,,,,,,,,,,,,,,,
XXX,descriptors/syn,,terms/:predicate:field-of,,,,,,:state:usage:suggested,:state:interface:field:in:out,,13,,,,,Provide all known synonyms with which the descriptor may be referenced.,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,descriptors/logo,,terms/:predicate:field-of,,,,,,:state:usage:optional,:state:interface:field:in:out,,14,,,,,"Provide an SVG image that can be used as the icon or logo for the descriptor, if applicable.",,,,,,,,,,,,,,,,,,,,,,,,,
XXX,descriptors/rank,,terms/:predicate:field-of,,,,,,:state:usage:required,:state:interface:field:in,,24,,,Rank level,This value corresponds to the highest user rank that is allowed to manage the descriptor.,Users with a rank lower than the selected value will not be allowed to modify or create the descriptor; if the rank is omitted all users are authorised.,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,descriptors/role,,terms/:predicate:field-of,,,,,,:state:usage:suggested,:state:interface:field:in,,25,,,Allowed roles,Select the roles that will allow the display and modification of the descriptor.,"Some descriptors may be restricted to specific roles, if you omit this field all roles apply, if you provide a selection, only the selected roles will be able to access the descriptor.",,,,,,,,,,,,,,,,,,,,,,,,,
XXX,descriptors/kind,,terms/:predicate:field-of,,,,,:state:access:protected,:state:usage:required,:state:interface:field:in:out,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,descriptors/type,,terms/:predicate:field-of,:rank:system,,,,:state:access:protected,:state:usage:required,:state:interface:field:out,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,descriptors/format,,terms/:predicate:field-of,,,,,:state:access:protected,:state:usage:optional,:state:interface:field:in,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
