,_id,Namespace GID,_key,nid,lid,gid,var,sym,syn.0,syn.1,syn.2,logo,keyword.0,keyword.1,keyword.2,keyword.3,keyword.4,keyword.5,keyword.6,type-cast,type-custom,collection,instance,traversal,length.0,length.1,length.2,length.3,regex,deploy,level,label.ISO:639:3:eng,definition.ISO:639:3:eng,description.ISO:639:3:eng,note.ISO:639:3:eng,example.ISO:639:3:eng,class,store,instances.0,info.0,schema
,terms/:domain,,:domain,terms/:,domain,:domain,kDomain,,domain,kDomain,,,domain,,,,,,,,,,,,,,,,,:state:application:default,,Domain,Default domains namespace.,"This namespace groups all default domains, domains define kingdom categories for objects in this system.","Domains can be considered as taxonomy kingdoms, they provide a high level generic category that represents the root of the object definition hierarchy,","The dictionary domain contains several collections, such as terms, descriptors and schemas.",,,,,
,terms/:collection,,:collection,terms/:,collection,:collection,kCollection,,collection,kCollection,,,collecton,,,,,,,,,,,,,,,,,:state:application:default,,Collection,Default collections namespace.,"This namespace groups all default collections, a collection is a container of objects grouped by data structure similarity, belonging to the same domain.","A collection is both a definition and a reference to the physical database collection. Each collection stores objects based on a degree of data structure similarity, while the other categories may group objects based on other criteria.","The terms collection is used to store enumerations, categories, data types and other term instance types, an enumeration instance belongs to the terms collection, which belongs to the dictionary domain.",,,,,
,terms/:instance,,:instance,terms/:,instance,:instance,kInstance,,instance,kInstance,,,instance,,,,,,,,,,,,,,,,,:state:application:default,,Instance,Default instances namespace.,"This namespace groups all default instances, an instance is a classification that defines the different types of object instances.","An instance identifies a specific class of objects stored in the database. There is a one to one relationship between an instance and a specific type of object, this means that two different instances may share the same class structure. It is recommended not to create a hierarchy of instances.","An enumeration instance will have a reference to the collection in which enumerations are stored, it will contain references to classes, structures and properties that define the data structure of an enumeration, and will be available via a controlled vocabulary under the category referencing the enumeration’s domain.",,,,,
,terms/:category,,:category,terms/:,category,:category,kCategory,,category,kCategory,,,category,,,,,,,,,,,,,,,,,:state:application:default,,Category,Default categories namespace.,"This namespace groups all default categories, a category is classification term that can be applied to object instances.","An object instance can be further classified into several categories, this classification represents the leaf element of the domain tree: domain, collection, instance and category.",,,,,,
,terms/:enum,,:enum,terms/:,enum,:enum,kEnum,,enum,kEnum,,,enumeration,controlled vocabulary,,,,,,,,,,,,,,,,:state:application:default,,Enumeration,Default enumerations namespace.,This namespace groups all default sets of enumerated values that represent valid choices lists.,An enumeration is a list of references to elements belonging to the same collection that represent the domain of valid choices from which a value must be selected.,The list of ISO 3166 countries is an example of an enumeration: a country variable may be set to only allow values coming from that list.,,,,,
,terms/:class,,:class,terms/:,class,:class,kClass,,class,kClass,,,class,,,,,,,,,,,,,,,,,:state:application:default,,Class,Default classes namespace.,"This namespace groups all default classes, classes are used to represent data structures that may be shared among instances, or that may represent shared object sub-components.","A class can be used to provide the data definition of an object instance, of a structural entity contained in different instances, or of a structural entity from which different instances can be derived. A class defines a data structure without taking the object function into account.","The terms class contains data definitions that are common to enumeration, category and descriptor instances, the latter three are distinct instances and are stored in different collections (descriptors have their own collection) and they all share the same domain..",,,,,
,terms/:struct,,:struct,terms/:,struct,:struct,kStruct,,struct,kStruct,,,structure,,,,,,,,,,,,,,,,,:state:application:default,,Structure,Default structures namespace.,"This namespace groups all default structures, a structure represents a complete data structure.","A structure is structurally identical to a class, but it exists under the convention that only root structures can be used by classes and instances. A structure may be the subclass of another structure, but only the root structure can be the subclass of an instance or class. This rule is not programmatically enforced, it is up to who designes the structure to follow this rule.","When you want to reference recursively data structures it is a good idea to assign a structure to a property, rather than assigning a class to another class.",,,,,
,terms/:form,,:form,terms/:,form,:form,kForm,,form,kForm,,,form,,,,,,,,,,,,,,,,,:state:application:default,,Form,Default forms namespace.,"This namespace groups all default form definitions, a form is a structure that holds the list of fields used to implement input and output user interface screens.","A form is similar to a class: the class defines what information is stored in the database, while the form defines what information is exchanged between the system and the users.",,,,,,
,terms/:kind,,:kind,terms/:,kind,:kind,kKind,,kind,kKind,,,kind,,,,,,,,,,,,,,,,,:state:application:default,,Kind,Default kinds namespace.,"This namespace groups all default kinds, a kind is a category above the type.","The relationship between kind and type is similar to the relationship between collection and instance: the kind determines the broad functional class of an item, while the type determines the specific function of the item.","One example of a kind is the data kind, such as quantitative or categorical.",,,,,
,terms/:type,,:type,terms/:,type,:type,kType,,type,kType,,,type,,,,,,,,,,,,,,,,,:state:application:default,,Type,Default types namespace.,"This namespace groups all default types, a type is the most specific function definition of an item.","Types in this system are enumerations, categories, classes and all ","One example of a type is the data type, such as string, number or date.",,,,,
