WBS Number,Title,Start,End,Time,Effort,%Done,Cost,Assigned,Planned Start,Start Variance,Planned End,End Variance,Constraint Start,Constraint End,Prerequisites,NoteContents,Priority,Resources Cost,Total Task Cost
1,Workflow analysis,11/09/2017 09:00,14/09/2017 18:00,4d,4d,100 %,,Milko Skofic,,,,,04/09/2017 08:00,,,"Breakdown of the main actions needed starting from the registration of a survey into the system, until the obtention of a cleaned dataset in the aggregated data store.",0,,
2,Data dictionary workflow analysis,21/09/2017 09:00,26/09/2017 18:00,4d,4d,100 %,,Milko Skofic,,,,,,,1,"Determine the general structure and workflow governing in the data dictionary.
Graph structure: determine the distinct predicates and the graph structure needed to represent controlled vocabularies, structures, forms and other types of relationships.",0,,
3,Data dictionary components analysis,27/09/2017 09:00,10/10/2017 13:00,4d,4d,100 %,,Milko Skofic,,,,,,,2,"Determine which components are needed to implement the data dictionary.
Test a series of use-cases and collect the necessary elements needed to express all aspects of descriptor data types, definitions and implementation as database keys.",0,,
4,Build a conceptual prototype of the data dictionary components,10/10/2017 14:00,19/10/2017 13:00,1w 2d,1w 2d,100 %,,,,,,,,,3,Determine the components and rules governing the data dictionary.,,,
4.1,Build the term model,10/10/2017 14:00,12/10/2017 13:00,2d,2d,100 %,,Milko Skofic,,,,,,,,"Determine the rules and structure of the data dictionary terms.
Enumerations, templates, categories, terms, classes, structures, forms, collections and other term types.",0,,
4.2,Build the descriptor model,12/10/2017 14:00,16/10/2017 13:00,2d,2d,100 %,,Milko Skofic,,,,,,,4.1,"Determine the rules and structure of the data dictionary descriptors.
Create schema for descriptors based on their data type.",0,,
4.3,Build the relationships model,16/10/2017 14:00,19/10/2017 13:00,3d,3d,100 %,,Milko Skofic,,,,,,,4.2,"Determine the base rules and behaviour of schema edge objects.
Design the schema and workflow for enumerations, controlled vocabulary templates, categories and choices, class and structure relationships, form and output reports.",0,,
5,Test conceptual model,19/10/2017 14:00,24/10/2017 13:00,3d,3d,100 %,,Milko Skofic,,,,,,,4.3,"Apply use cases to the model and refine the model.
Compile and test a set of queries in the database to test the model.
Refine the model and repeat until effective.",0,,
6,Atomic operations census,24/10/2017 14:00,08/11/2017 13:00,2w,2w,100 %,,,,,,,,,,,,,
6.1,Census of all required atomic operations,24/10/2017 14:00,27/10/2017 13:00,3d,3d,100 %,,Milko Skofic,,,,,,,5,"All low level operations. The selection should go from the detailed to the more high level, the idea is to break down every required operation into a detailed flowchart that will allow enumerating all the required data and functional elements that are required for the task. This activity should produce a list of atomic tasks that can be added to this plan.",0,,
6.2,Census of all required descriptors for low level operations,27/10/2017 14:00,02/11/2017 13:00,3d,3d,100 %,,Milko Skofic,,,,,,,6.1,"This activity should look at the result of “Census of all required atomic operations” and determine all necessary information items that are required to complete the task. Each of these items should translate into a descriptor, existing or new, that should be added to the structure spreadsheet which will be parsed and added to the database.",0,,
6.3,Census of all required classes for low level operations,02/11/2017 14:00,06/11/2017 13:00,2d,2d,100 %,,Milko Skofic,,,,,,,6.2,"This activity takes the results of the “Census of all required descriptors” activity, along with the results of the “Census of all required atomic operations”, and uses them to compile the list of objects that are required to complete those tasks. This classes will be added to the “Symbols.numbers” file and later imported into the database.",0,,
6.4,Determine new collection requirements,06/11/2017 14:00,08/11/2017 13:00,2d,2d,100 %,,Milko Skofic,,,,,,,6.3,This activity consists of noting whether atomic operations involve the use of new collections and assigning new classes to these collections.,0,,
7,Data standards,08/11/2017 14:00,17/11/2017 13:00,1w 2d,1w 2d,100 %,,,,,,,,,6.4,,,,
7.1,Compilation of data standards.,08/11/2017 14:00,13/11/2017 13:00,3d,3d,100 %,,Milko Skofic,,,,,,,,"Select, clean and compile list of standard data required for the project.
ISO 3166, ISO 639, ISO 4217, World Bank, Genoames, GEONet.",0,,
7.2,Update census of required descriptors from data standards..,13/11/2017 14:00,15/11/2017 13:00,2d,2d,100 %,,Milko Skofic,,,,,,,7.1,"During the compilation of data standards, determine which descriptors are needed to handle the information and add to the descriptors spreadsheet the new ones and comment existing ones for usage in standards.",0,,
